DHB,Dose1,Population,Date
Northland,1110,10478,2022-02-01
Waitemata,2377,8520,2022-02-01
Auckland,1371,4322,2022-02-01
Counties Manukau,2529,13654,2022-02-01
Waikato,2575,14353,2022-02-01
Lakes,947,5837,2022-02-01
Bay of Plenty,1452,9663,2022-02-01
Tairawhiti,662,3586,2022-02-01
Taranaki,821,3891,2022-02-01
Hawkes Bay,1193,7110,2022-02-01
MidCentral,1094,5415,2022-02-01
Whanganui,376,2707,2022-02-01
Capital and Coast,1604,4676,2022-02-01
Hutt Valley,1119,3674,2022-02-01
Wairarapa,232,1304,2022-02-01
Nelson Marlborough,649,2457,2022-02-01
West Coast,119,548,2022-02-01
Canterbury,1915,7502,2022-02-01
South Canterbury,201,788,2022-02-01
Southern,1164,4918,2022-02-01
Overseas / Unknown,7,159,2022-02-01
Total,23517,115562,2022-02-01
