DHB,Dose1,Population,Date
Northland,1278,10478,2022-02-03
Waitemata,2558,8520,2022-02-03
Auckland,1461,4322,2022-02-03
Counties Manukau,2787,13654,2022-02-03
Waikato,2777,14353,2022-02-03
Lakes,986,5837,2022-02-03
Bay of Plenty,1537,9663,2022-02-03
Tairawhiti,720,3586,2022-02-03
Taranaki,856,3891,2022-02-03
Hawkes Bay,1246,7110,2022-02-03
MidCentral,1196,5415,2022-02-03
Whanganui,411,2707,2022-02-03
Capital and Coast,1694,4676,2022-02-03
Hutt Valley,1180,3674,2022-02-03
Wairarapa,257,1304,2022-02-03
Nelson Marlborough,678,2457,2022-02-03
West Coast,127,548,2022-02-03
Canterbury,2121,7502,2022-02-03
South Canterbury,206,788,2022-02-03
Southern,1266,4918,2022-02-03
Overseas / Unknown,8,159,2022-02-03
Total,25350,115562,2022-02-03
