DHB,Dose1,Population,Date
Northland,1018,10478,2022-01-31
Waitemata,2243,8520,2022-01-31
Auckland,1301,4322,2022-01-31
Counties Manukau,2343,13654,2022-01-31
Waikato,2427,14353,2022-01-31
Lakes,903,5837,2022-01-31
Bay of Plenty,1348,9663,2022-01-31
Tairawhiti,598,3586,2022-01-31
Taranaki,788,3891,2022-01-31
Hawkes Bay,1123,7110,2022-01-31
MidCentral,1040,5415,2022-01-31
Whanganui,347,2707,2022-01-31
Capital and Coast,1521,4676,2022-01-31
Hutt Valley,1071,3674,2022-01-31
Wairarapa,201,1304,2022-01-31
Nelson Marlborough,629,2457,2022-01-31
West Coast,106,548,2022-01-31
Canterbury,1783,7502,2022-01-31
South Canterbury,199,788,2022-01-31
Southern,1083,4918,2022-01-31
Overseas / Unknown,7,159,2022-01-31
Total,22079,115562,2022-01-31
