DHB,Dose1,Dose2,Population,Date
Northland,2033,10,10478,2022-02-23
Waitemata,3128,43,8520,2022-02-23
Auckland,1805,33,4322,2022-02-23
Counties Manukau,3819,93,13654,2022-02-23
Waikato,3694,34,14353,2022-02-23
Lakes,1326,9,5837,2022-02-23
Bay of Plenty,2069,23,9663,2022-02-23
Tairawhiti,1111,12,3586,2022-02-23
Taranaki,1035,7,3891,2022-02-23
Hawkes Bay,1688,20,7110,2022-02-23
MidCentral,1614,9,5415,2022-02-23
Whanganui,587,<5,2707,2022-02-23
Capital and Coast,2098,18,4676,2022-02-23
Hutt Valley,1482,7,3674,2022-02-23
Wairarapa,387,20,1304,2022-02-23
Nelson Marlborough,828,9,2457,2022-02-23
West Coast,163,<5,548,2022-02-23
Canterbury,2794,13,7502,2022-02-23
South Canterbury,260,<5,788,2022-02-23
Southern,1739,<5,4918,2022-02-23
Overseas / Unknown,9,<5,159,2022-02-23
Total,33669,368,115562,2022-02-23
