DHB,Dose1,Dose2,Population,Date
Northland,2718,531,10478,2022-04-11
Waitemata,3480,1136,8520,2022-04-11
Auckland,1964,712,4322,2022-04-11
Counties Manukau,4467,1043,13654,2022-04-11
Waikato,4518,1033,14353,2022-04-11
Lakes,1656,390,5837,2022-04-11
Bay of Plenty,2557,591,9663,2022-04-11
Tairawhiti,1593,380,3586,2022-04-11
Taranaki,1222,360,3891,2022-04-11
Hawkes Bay,2276,517,7110,2022-04-11
MidCentral,2028,583,5415,2022-04-11
Whanganui,778,200,2707,2022-04-11
Capital and Coast,2338,909,4676,2022-04-11
Hutt Valley,1689,514,3674,2022-04-11
Wairarapa,467,120,1304,2022-04-11
Nelson Marlborough,960,284,2457,2022-04-11
West Coast,216,74,548,2022-04-11
Canterbury,3340,1130,7502,2022-04-11
South Canterbury,328,75,788,2022-04-11
Southern,2012,689,4918,2022-04-11
Overseas / Unknown,10,5,159,2022-04-11
Total,40617,11274,115562,2022-04-11
