DHB,Dose1,Dose2,Population,Date
Northland,2500,41,10478,2022-03-11
Waitemata,3400,107,8520,2022-03-11
Auckland,1926,95,4322,2022-03-11
Counties Manukau,4239,175,13654,2022-03-11
Waikato,4344,98,14353,2022-03-11
Lakes,1573,50,5837,2022-03-11
Bay of Plenty,2474,79,9663,2022-03-11
Tairawhiti,1422,35,3586,2022-03-11
Taranaki,1188,19,3891,2022-03-11
Hawkes Bay,2162,79,7110,2022-03-11
MidCentral,1947,37,5415,2022-03-11
Whanganui,743,7,2707,2022-03-11
Capital and Coast,2289,44,4676,2022-03-11
Hutt Valley,1645,33,3674,2022-03-11
Wairarapa,445,36,1304,2022-03-11
Nelson Marlborough,918,20,2457,2022-03-11
West Coast,200,6,548,2022-03-11
Canterbury,3257,77,7502,2022-03-11
South Canterbury,307,5,788,2022-03-11
Southern,1941,27,4918,2022-03-11
Overseas / Unknown,11,5,159,2022-03-11
Total,38931,1070,115562,2022-03-11
