DHB,Dose1,Dose2,Population,Date
Northland,2620,263,10478,2022-03-24
Waitemata,3468,672,8520,2022-03-24
Auckland,1964,450,4322,2022-03-24
Counties Manukau,4404,615,13654,2022-03-24
Waikato,4434,589,14353,2022-03-24
Lakes,1639,241,5837,2022-03-24
Bay of Plenty,2534,325,9663,2022-03-24
Tairawhiti,1554,194,3586,2022-03-24
Taranaki,1209,212,3891,2022-03-24
Hawkes Bay,2255,285,7110,2022-03-24
MidCentral,2003,284,5415,2022-03-24
Whanganui,775,120,2707,2022-03-24
Capital and Coast,2320,550,4676,2022-03-24
Hutt Valley,1673,268,3674,2022-03-24
Wairarapa,461,85,1304,2022-03-24
Nelson Marlborough,941,172,2457,2022-03-24
West Coast,211,34,548,2022-03-24
Canterbury,3308,594,7502,2022-03-24
South Canterbury,323,46,788,2022-03-24
Southern,1999,306,4918,2022-03-24
Overseas / Unknown,10,5,159,2022-03-24
Total,40105,6306,115562,2022-03-24
