DHB,Dose1,Population,Date
Northland,1657,10478,2022-02-12
Waitemata,2893,8520,2022-02-12
Auckland,1666,4322,2022-02-12
Counties Manukau,3443,13654,2022-02-12
Waikato,3241,14353,2022-02-12
Lakes,1182,5837,2022-02-12
Bay of Plenty,1834,9663,2022-02-12
Tairawhiti,914,3586,2022-02-12
Taranaki,946,3891,2022-02-12
Hawkes Bay,1504,7110,2022-02-12
MidCentral,1404,5415,2022-02-12
Whanganui,480,2707,2022-02-12
Capital and Coast,1906,4676,2022-02-12
Hutt Valley,1319,3674,2022-02-12
Wairarapa,329,1304,2022-02-12
Nelson Marlborough,758,2457,2022-02-12
West Coast,148,548,2022-02-12
Canterbury,2471,7502,2022-02-12
South Canterbury,236,788,2022-02-12
Southern,1503,4918,2022-02-12
Overseas / Unknown,9,159,2022-02-12
Total,29843,115562,2022-02-12
