DHB,Dose1,Population,Date
Northland,1662,10478,2022-02-13
Waitemata,2910,8520,2022-02-13
Auckland,1673,4322,2022-02-13
Counties Manukau,3455,13654,2022-02-13
Waikato,3262,14353,2022-02-13
Lakes,1207,5837,2022-02-13
Bay of Plenty,1856,9663,2022-02-13
Tairawhiti,930,3586,2022-02-13
Taranaki,947,3891,2022-02-13
Hawkes Bay,1534,7110,2022-02-13
MidCentral,1409,5415,2022-02-13
Whanganui,488,2707,2022-02-13
Capital and Coast,1911,4676,2022-02-13
Hutt Valley,1344,3674,2022-02-13
Wairarapa,330,1304,2022-02-13
Nelson Marlborough,758,2457,2022-02-13
West Coast,148,548,2022-02-13
Canterbury,2486,7502,2022-02-13
South Canterbury,236,788,2022-02-13
Southern,1522,4918,2022-02-13
Overseas / Unknown,9,159,2022-02-13
Total,30077,115562,2022-02-13
