DHB,Dose1,Dose2,Population,Date
Northland,2112,11,10478,2022-02-26
Waitemata,3236,56,8520,2022-02-26
Auckland,1859,42,4322,2022-02-26
Counties Manukau,3941,114,13654,2022-02-26
Waikato,3941,42,14353,2022-02-26
Lakes,1396,23,5837,2022-02-26
Bay of Plenty,2182,33,9663,2022-02-26
Tairawhiti,1160,13,3586,2022-02-26
Taranaki,1082,9,3891,2022-02-26
Hawkes Bay,1741,24,7110,2022-02-26
MidCentral,1693,15,5415,2022-02-26
Whanganui,618,5,2707,2022-02-26
Capital and Coast,2159,24,4676,2022-02-26
Hutt Valley,1527,8,3674,2022-02-26
Wairarapa,400,24,1304,2022-02-26
Nelson Marlborough,851,10,2457,2022-02-26
West Coast,170,5,548,2022-02-26
Canterbury,2942,28,7502,2022-02-26
South Canterbury,273,5,788,2022-02-26
Southern,1797,8,4918,2022-02-26
Overseas / Unknown,9,5,159,2022-02-26
Total,35089,488,115562,2022-02-26
