DHB,Dose1,Dose2,Population,Date
Northland,2205,16,10478,2022-03-01
Waitemata,3311,66,8520,2022-03-01
Auckland,1888,54,4322,2022-03-01
Counties Manukau,4020,126,13654,2022-03-01
Waikato,4038,61,14353,2022-03-01
Lakes,1484,27,5837,2022-03-01
Bay of Plenty,2289,47,9663,2022-03-01
Tairawhiti,1231,18,3586,2022-03-01
Taranaki,1103,11,3891,2022-03-01
Hawkes Bay,1806,36,7110,2022-03-01
MidCentral,1743,17,5415,2022-03-01
Whanganui,644,5,2707,2022-03-01
Capital and Coast,2186,27,4676,2022-03-01
Hutt Valley,1567,15,3674,2022-03-01
Wairarapa,410,26,1304,2022-03-01
Nelson Marlborough,861,11,2457,2022-03-01
West Coast,178,5,548,2022-03-01
Canterbury,3034,40,7502,2022-03-01
South Canterbury,282,5,788,2022-03-01
Southern,1838,10,4918,2022-03-01
Overseas / Unknown,9,5,159,2022-03-01
Total,36127,612,115562,2022-03-01
