DHB,Dose1,Dose2,Population,Date
Northland,2695,444,10478,2022-04-03
Waitemata,3473,992,8520,2022-04-03
Auckland,1963,637,4322,2022-04-03
Counties Manukau,4446,914,13654,2022-04-03
Waikato,4480,893,14353,2022-04-03
Lakes,1654,364,5837,2022-04-03
Bay of Plenty,2551,527,9663,2022-04-03
Tairawhiti,1583,336,3586,2022-04-03
Taranaki,1216,328,3891,2022-04-03
Hawkes Bay,2271,447,7110,2022-04-03
MidCentral,2028,524,5415,2022-04-03
Whanganui,778,185,2707,2022-04-03
Capital and Coast,2327,838,4676,2022-04-03
Hutt Valley,1679,453,3674,2022-04-03
Wairarapa,463,109,1304,2022-04-03
Nelson Marlborough,953,263,2457,2022-04-03
West Coast,215,72,548,2022-04-03
Canterbury,3332,996,7502,2022-04-03
South Canterbury,328,70,788,2022-04-03
Southern,2005,563,4918,2022-04-03
Overseas / Unknown,10,5,159,2022-04-03
Total,40450,9957,115562,2022-04-03
