DHB,Dose1,Population,Date
Northland,1403,10478,2022-02-07
Waitemata,2749,8520,2022-02-07
Auckland,1575,4322,2022-02-07
Counties Manukau,3121,13654,2022-02-07
Waikato,2953,14353,2022-02-07
Lakes,1118,5837,2022-02-07
Bay of Plenty,1687,9663,2022-02-07
Tairawhiti,822,3586,2022-02-07
Taranaki,912,3891,2022-02-07
Hawkes Bay,1361,7110,2022-02-07
MidCentral,1298,5415,2022-02-07
Whanganui,438,2707,2022-02-07
Capital and Coast,1772,4676,2022-02-07
Hutt Valley,1236,3674,2022-02-07
Wairarapa,289,1304,2022-02-07
Nelson Marlborough,718,2457,2022-02-07
West Coast,139,548,2022-02-07
Canterbury,2244,7502,2022-02-07
South Canterbury,211,788,2022-02-07
Southern,1334,4918,2022-02-07
Overseas / Unknown,9,159,2022-02-07
Total,27389,115562,2022-02-07
