DHB,Dose1,Population,Date
Northland,971,10478,2022-01-29
Waitemata,2139,8520,2022-01-29
Auckland,1251,4322,2022-01-29
Counties Manukau,2248,13654,2022-01-29
Waikato,2354,14353,2022-01-29
Lakes,823,5837,2022-01-29
Bay of Plenty,1280,9663,2022-01-29
Tairawhiti,507,3586,2022-01-29
Taranaki,723,3891,2022-01-29
Hawkes Bay,988,7110,2022-01-29
MidCentral,947,5415,2022-01-29
Whanganui,331,2707,2022-01-29
Capital and Coast,1406,4676,2022-01-29
Hutt Valley,956,3674,2022-01-29
Wairarapa,170,1304,2022-01-29
Nelson Marlborough,599,2457,2022-01-29
West Coast,94,548,2022-01-29
Canterbury,1588,7502,2022-01-29
South Canterbury,187,788,2022-01-29
Southern,983,4918,2022-01-29
Overseas / Unknown,6,159,2022-01-29
Total,20551,115562,2022-01-29
