DHB,Dose1,Dose2,Population,Date
Northland,1997,10,10478,2022-02-22
Waitemata,3096,38,8520,2022-02-22
Auckland,1788,32,4322,2022-02-22
Counties Manukau,3792,87,13654,2022-02-22
Waikato,3655,32,14353,2022-02-22
Lakes,1323,9,5837,2022-02-22
Bay of Plenty,2041,20,9663,2022-02-22
Tairawhiti,1097,10,3586,2022-02-22
Taranaki,1023,7,3891,2022-02-22
Hawkes Bay,1677,17,7110,2022-02-22
MidCentral,1589,6,5415,2022-02-22
Whanganui,566,<5,2707,2022-02-22
Capital and Coast,2084,16,4676,2022-02-22
Hutt Valley,1473,6,3674,2022-02-22
Wairarapa,388,10,1304,2022-02-22
Nelson Marlborough,823,9,2457,2022-02-22
West Coast,163,<5,548,2022-02-22
Canterbury,2758,10,7502,2022-02-22
South Canterbury,257,<5,788,2022-02-22
Southern,1729,<5,4918,2022-02-22
Overseas / Unknown,9,<5,159,2022-02-22
Total,33328,326,115562,2022-02-22
