DHB,Dose1,Dose2,Population,Date
Northland,2651,337,10478,2022-03-28
Waitemata,3470,818,8520,2022-03-28
Auckland,1967,534,4322,2022-03-28
Counties Manukau,4418,747,13654,2022-03-28
Waikato,4450,748,14353,2022-03-28
Lakes,1644,311,5837,2022-03-28
Bay of Plenty,2542,432,9663,2022-03-28
Tairawhiti,1564,255,3586,2022-03-28
Taranaki,1209,284,3891,2022-03-28
Hawkes Bay,2264,371,7110,2022-03-28
MidCentral,2012,393,5415,2022-03-28
Whanganui,774,147,2707,2022-03-28
Capital and Coast,2323,700,4676,2022-03-28
Hutt Valley,1677,390,3674,2022-03-28
Wairarapa,461,92,1304,2022-03-28
Nelson Marlborough,946,213,2457,2022-03-28
West Coast,214,43,548,2022-03-28
Canterbury,3322,793,7502,2022-03-28
South Canterbury,327,64,788,2022-03-28
Southern,2000,425,4918,2022-03-28
Overseas / Unknown,10,5,159,2022-03-28
Total,40245,8098,115562,2022-03-28
