DHB,Dose1,Population,Date
Northland,1764,10478,2022-02-16
Waitemata,2967,8520,2022-02-16
Auckland,1705,4322,2022-02-16
Counties Manukau,3578,13654,2022-02-16
Waikato,3403,14353,2022-02-16
Lakes,1246,5837,2022-02-16
Bay of Plenty,1907,9663,2022-02-16
Tairawhiti,981,3586,2022-02-16
Taranaki,974,3891,2022-02-16
Hawkes Bay,1578,7110,2022-02-16
MidCentral,1466,5415,2022-02-16
Whanganui,507,2707,2022-02-16
Capital and Coast,1971,4676,2022-02-16
Hutt Valley,1380,3674,2022-02-16
Wairarapa,343,1304,2022-02-16
Nelson Marlborough,769,2457,2022-02-16
West Coast,151,548,2022-02-16
Canterbury,2563,7502,2022-02-16
South Canterbury,241,788,2022-02-16
Southern,1609,4918,2022-02-16
Overseas / Unknown,9,159,2022-02-16
Total,31112,115562,2022-02-16
