DHB,Dose1,Population,Date
Northland,1933,10478,2022-02-20
Waitemata,3043,8520,2022-02-20
Auckland,1756,4322,2022-02-20
Counties Manukau,3737,13654,2022-02-20
Waikato,3580,14353,2022-02-20
Lakes,1303,5837,2022-02-20
Bay of Plenty,2000,9663,2022-02-20
Tairawhiti,1069,3586,2022-02-20
Taranaki,1013,3891,2022-02-20
Hawkes Bay,1646,7110,2022-02-20
MidCentral,1565,5415,2022-02-20
Whanganui,553,2707,2022-02-20
Capital and Coast,2052,4676,2022-02-20
Hutt Valley,1448,3674,2022-02-20
Wairarapa,379,1304,2022-02-20
Nelson Marlborough,804,2457,2022-02-20
West Coast,161,548,2022-02-20
Canterbury,2697,7502,2022-02-20
South Canterbury,256,788,2022-02-20
Southern,1694,4918,2022-02-20
Overseas / Unknown,9,159,2022-02-20
Total,32698,115562,2022-02-20
