DHB,Dose1,Dose2,Population,Date
Northland,2740,587,10478,2022-04-19
Waitemata,3479,1182,8520,2022-04-19
Auckland,1960,737,4322,2022-04-19
Counties Manukau,4468,1095,13654,2022-04-19
Waikato,4518,1073,14353,2022-04-19
Lakes,1658,402,5837,2022-04-19
Bay of Plenty,2558,615,9663,2022-04-19
Tairawhiti,1599,413,3586,2022-04-19
Taranaki,1224,373,3891,2022-04-19
Hawkes Bay,2280,533,7110,2022-04-19
MidCentral,2033,609,5415,2022-04-19
Whanganui,778,211,2707,2022-04-19
Capital and Coast,2342,940,4676,2022-04-19
Hutt Valley,1690,534,3674,2022-04-19
Wairarapa,467,130,1304,2022-04-19
Nelson Marlborough,962,292,2457,2022-04-19
West Coast,215,74,548,2022-04-19
Canterbury,3340,1183,7502,2022-04-19
South Canterbury,328,77,788,2022-04-19
Southern,2016,728,4918,2022-04-19
Overseas / Unknown,10,5,159,2022-04-19
Total,40665,11791,115562,2022-04-19
