DHB,Dose1,Dose2,Population,Date
Northland,2521,45,10478,2022-03-12
Waitemata,3415,134,8520,2022-03-12
Auckland,1934,102,4322,2022-03-12
Counties Manukau,4305,193,13654,2022-03-12
Waikato,4360,101,14353,2022-03-12
Lakes,1584,57,5837,2022-03-12
Bay of Plenty,2490,86,9663,2022-03-12
Tairawhiti,1427,38,3586,2022-03-12
Taranaki,1192,19,3891,2022-03-12
Hawkes Bay,2171,83,7110,2022-03-12
MidCentral,1953,38,5415,2022-03-12
Whanganui,748,8,2707,2022-03-12
Capital and Coast,2294,54,4676,2022-03-12
Hutt Valley,1649,34,3674,2022-03-12
Wairarapa,449,37,1304,2022-03-12
Nelson Marlborough,926,21,2457,2022-03-12
West Coast,203,6,548,2022-03-12
Canterbury,3275,90,7502,2022-03-12
South Canterbury,309,5,788,2022-03-12
Southern,1948,29,4918,2022-03-12
Overseas / Unknown,11,5,159,2022-03-12
Total,39164,1180,115562,2022-03-12
