DHB,Dose1,Dose2,Population,Date
Northland,2261,18,10478,2022-03-02
Waitemata,3324,69,8520,2022-03-02
Auckland,1886,56,4322,2022-03-02
Counties Manukau,4042,133,13654,2022-03-02
Waikato,4093,69,14353,2022-03-02
Lakes,1488,30,5837,2022-03-02
Bay of Plenty,2321,51,9663,2022-03-02
Tairawhiti,1279,19,3586,2022-03-02
Taranaki,1118,11,3891,2022-03-02
Hawkes Bay,1836,38,7110,2022-03-02
MidCentral,1773,22,5415,2022-03-02
Whanganui,656,5,2707,2022-03-02
Capital and Coast,2209,27,4676,2022-03-02
Hutt Valley,1579,18,3674,2022-03-02
Wairarapa,414,27,1304,2022-03-02
Nelson Marlborough,870,11,2457,2022-03-02
West Coast,178,5,548,2022-03-02
Canterbury,3061,43,7502,2022-03-02
South Canterbury,285,5,788,2022-03-02
Southern,1846,13,4918,2022-03-02
Overseas / Unknown,9,5,159,2022-03-02
Total,36528,660,115562,2022-03-02
