DHB,Dose1,Population,Date
Northland,849,10478,2022-01-27
Waitemata,1904,8520,2022-01-27
Auckland,1114,4322,2022-01-27
Counties Manukau,1955,13654,2022-01-27
Waikato,2054,14353,2022-01-27
Lakes,723,5837,2022-01-27
Bay of Plenty,1099,9663,2022-01-27
Tairawhiti,457,3586,2022-01-27
Taranaki,604,3891,2022-01-27
Hawkes Bay,816,7110,2022-01-27
MidCentral,764,5415,2022-01-27
Whanganui,274,2707,2022-01-27
Capital and Coast,1172,4676,2022-01-27
Hutt Valley,838,3674,2022-01-27
Wairarapa,134,1304,2022-01-27
Nelson Marlborough,530,2457,2022-01-27
West Coast,61,548,2022-01-27
Canterbury,1321,7502,2022-01-27
South Canterbury,156,788,2022-01-27
Southern,802,4918,2022-01-27
Overseas / Unknown,5,159,2022-01-27
Total,17632,115562,2022-01-27
