DHB,Dose1,Dose2,Population,Date
Northland,2746,608,10478,2022-04-21
Waitemata,3477,1193,8520,2022-04-21
Auckland,1961,746,4322,2022-04-21
Counties Manukau,4473,1121,13654,2022-04-21
Waikato,4517,1101,14353,2022-04-21
Lakes,1660,406,5837,2022-04-21
Bay of Plenty,2558,619,9663,2022-04-21
Tairawhiti,1599,417,3586,2022-04-21
Taranaki,1225,374,3891,2022-04-21
Hawkes Bay,2280,537,7110,2022-04-21
MidCentral,2037,622,5415,2022-04-21
Whanganui,779,213,2707,2022-04-21
Capital and Coast,2341,944,4676,2022-04-21
Hutt Valley,1693,544,3674,2022-04-21
Wairarapa,468,133,1304,2022-04-21
Nelson Marlborough,962,299,2457,2022-04-21
West Coast,215,75,548,2022-04-21
Canterbury,3344,1212,7502,2022-04-21
South Canterbury,330,77,788,2022-04-21
Southern,2017,741,4918,2022-04-21
Overseas / Unknown,10,5,159,2022-04-21
Total,40692,11985,115562,2022-04-21
