DHB,Dose1,Population,Date
Northland,1728,10478,2022-02-15
Waitemata,2955,8520,2022-02-15
Auckland,1689,4322,2022-02-15
Counties Manukau,3538,13654,2022-02-15
Waikato,3343,14353,2022-02-15
Lakes,1232,5837,2022-02-15
Bay of Plenty,1896,9663,2022-02-15
Tairawhiti,951,3586,2022-02-15
Taranaki,965,3891,2022-02-15
Hawkes Bay,1562,7110,2022-02-15
MidCentral,1434,5415,2022-02-15
Whanganui,499,2707,2022-02-15
Capital and Coast,1962,4676,2022-02-15
Hutt Valley,1365,3674,2022-02-15
Wairarapa,339,1304,2022-02-15
Nelson Marlborough,764,2457,2022-02-15
West Coast,151,548,2022-02-15
Canterbury,2536,7502,2022-02-15
South Canterbury,241,788,2022-02-15
Southern,1576,4918,2022-02-15
Overseas / Unknown,9,159,2022-02-15
Total,30735,115562,2022-02-15
