DHB,Dose1,Population,Date
Northland,574,10478,2022-01-25
Waitemata,1600,8520,2022-01-25
Auckland,961,4322,2022-01-25
Counties Manukau,1586,13654,2022-01-25
Waikato,1553,14353,2022-01-25
Lakes,566,5837,2022-01-25
Bay of Plenty,858,9663,2022-01-25
Tairawhiti,349,3586,2022-01-25
Taranaki,464,3891,2022-01-25
Hawkes Bay,610,7110,2022-01-25
MidCentral,547,5415,2022-01-25
Whanganui,202,2707,2022-01-25
Capital and Coast,923,4676,2022-01-25
Hutt Valley,616,3674,2022-01-25
Wairarapa,88,1304,2022-01-25
Nelson Marlborough,437,2457,2022-01-25
West Coast,42,548,2022-01-25
Canterbury,1004,7502,2022-01-25
South Canterbury,116,788,2022-01-25
Southern,572,4918,2022-01-25
Overseas / Unknown,5,159,2022-01-25
Total,13670,115562,2022-01-25
