DHB,Dose1,Dose2,Population,Date
Northland,2671,410,10478,2022-04-01
Waitemata,3471,938,8520,2022-04-01
Auckland,1965,601,4322,2022-04-01
Counties Manukau,4431,848,13654,2022-04-01
Waikato,4467,861,14353,2022-04-01
Lakes,1652,340,5837,2022-04-01
Bay of Plenty,2547,482,9663,2022-04-01
Tairawhiti,1575,286,3586,2022-04-01
Taranaki,1216,317,3891,2022-04-01
Hawkes Bay,2269,406,7110,2022-04-01
MidCentral,2023,483,5415,2022-04-01
Whanganui,777,174,2707,2022-04-01
Capital and Coast,2325,801,4676,2022-04-01
Hutt Valley,1677,440,3674,2022-04-01
Wairarapa,461,103,1304,2022-04-01
Nelson Marlborough,951,254,2457,2022-04-01
West Coast,215,68,548,2022-04-01
Canterbury,3328,942,7502,2022-04-01
South Canterbury,328,69,788,2022-04-01
Southern,2005,527,4918,2022-04-01
Overseas / Unknown,10,5,159,2022-04-01
Total,40364,9352,115562,2022-04-01
