DHB,Dose1,Population,Date
Northland,1925,10478,2022-02-19
Waitemata,3034,8520,2022-02-19
Auckland,1748,4322,2022-02-19
Counties Manukau,3719,13654,2022-02-19
Waikato,3568,14353,2022-02-19
Lakes,1270,5837,2022-02-19
Bay of Plenty,1983,9663,2022-02-19
Tairawhiti,1063,3586,2022-02-19
Taranaki,1007,3891,2022-02-19
Hawkes Bay,1618,7110,2022-02-19
MidCentral,1556,5415,2022-02-19
Whanganui,548,2707,2022-02-19
Capital and Coast,2048,4676,2022-02-19
Hutt Valley,1443,3674,2022-02-19
Wairarapa,378,1304,2022-02-19
Nelson Marlborough,794,2457,2022-02-19
West Coast,161,548,2022-02-19
Canterbury,2686,7502,2022-02-19
South Canterbury,256,788,2022-02-19
Southern,1689,4918,2022-02-19
Overseas / Unknown,9,159,2022-02-19
Total,32503,115562,2022-02-19
