DHB,Dose1,Dose2,Population,Date
Northland,2737,579,10478,2022-04-18
Waitemata,3479,1175,8520,2022-04-18
Auckland,1961,731,4322,2022-04-18
Counties Manukau,4467,1081,13654,2022-04-18
Waikato,4518,1067,14353,2022-04-18
Lakes,1658,402,5837,2022-04-18
Bay of Plenty,2558,609,9663,2022-04-18
Tairawhiti,1599,412,3586,2022-04-18
Taranaki,1224,371,3891,2022-04-18
Hawkes Bay,2278,531,7110,2022-04-18
MidCentral,2032,604,5415,2022-04-18
Whanganui,778,210,2707,2022-04-18
Capital and Coast,2342,934,4676,2022-04-18
Hutt Valley,1689,530,3674,2022-04-18
Wairarapa,467,128,1304,2022-04-18
Nelson Marlborough,961,291,2457,2022-04-18
West Coast,215,74,548,2022-04-18
Canterbury,3340,1174,7502,2022-04-18
South Canterbury,328,77,788,2022-04-18
Southern,2017,726,4918,2022-04-18
Overseas / Unknown,10,5,159,2022-04-18
Total,40658,11709,115562,2022-04-18
