DHB,Dose1,Population,Date
Northland,992,10478,2022-01-30
Waitemata,2189,8520,2022-01-30
Auckland,1278,4322,2022-01-30
Counties Manukau,2305,13654,2022-01-30
Waikato,2384,14353,2022-01-30
Lakes,863,5837,2022-01-30
Bay of Plenty,1314,9663,2022-01-30
Tairawhiti,598,3586,2022-01-30
Taranaki,733,3891,2022-01-30
Hawkes Bay,1070,7110,2022-01-30
MidCentral,977,5415,2022-01-30
Whanganui,342,2707,2022-01-30
Capital and Coast,1432,4676,2022-01-30
Hutt Valley,994,3674,2022-01-30
Wairarapa,171,1304,2022-01-30
Nelson Marlborough,608,2457,2022-01-30
West Coast,94,548,2022-01-30
Canterbury,1644,7502,2022-01-30
South Canterbury,187,788,2022-01-30
Southern,1009,4918,2022-01-30
Overseas / Unknown,6,159,2022-01-30
Total,21190,115562,2022-01-30
