DHB,Dose1,Population,Date
Northland,1216,10478,2022-02-02
Waitemata,2469,8520,2022-02-02
Auckland,1425,4322,2022-02-02
Counties Manukau,2680,13654,2022-02-02
Waikato,2683,14353,2022-02-02
Lakes,964,5837,2022-02-02
Bay of Plenty,1506,9663,2022-02-02
Tairawhiti,711,3586,2022-02-02
Taranaki,836,3891,2022-02-02
Hawkes Bay,1216,7110,2022-02-02
MidCentral,1149,5415,2022-02-02
Whanganui,396,2707,2022-02-02
Capital and Coast,1645,4676,2022-02-02
Hutt Valley,1153,3674,2022-02-02
Wairarapa,244,1304,2022-02-02
Nelson Marlborough,668,2457,2022-02-02
West Coast,123,548,2022-02-02
Canterbury,2027,7502,2022-02-02
South Canterbury,204,788,2022-02-02
Southern,1221,4918,2022-02-02
Overseas / Unknown,8,159,2022-02-02
Total,24544,115562,2022-02-02
