DHB,Dose1,Population,Date
Northland,1328,10478,2022-02-04
Waitemata,2638,8520,2022-02-04
Auckland,1502,4322,2022-02-04
Counties Manukau,2876,13654,2022-02-04
Waikato,2855,14353,2022-02-04
Lakes,1005,5837,2022-02-04
Bay of Plenty,1585,9663,2022-02-04
Tairawhiti,755,3586,2022-02-04
Taranaki,884,3891,2022-02-04
Hawkes Bay,1267,7110,2022-02-04
MidCentral,1212,5415,2022-02-04
Whanganui,413,2707,2022-02-04
Capital and Coast,1718,4676,2022-02-04
Hutt Valley,1203,3674,2022-02-04
Wairarapa,270,1304,2022-02-04
Nelson Marlborough,696,2457,2022-02-04
West Coast,130,548,2022-02-04
Canterbury,2169,7502,2022-02-04
South Canterbury,209,788,2022-02-04
Southern,1285,4918,2022-02-04
Overseas / Unknown,8,159,2022-02-04
Total,26008,115562,2022-02-04
