DHB,Dose1,Population,Date
Northland,1821,10478,2022-02-18
Waitemata,2992,8520,2022-02-18
Auckland,1724,4322,2022-02-18
Counties Manukau,3635,13654,2022-02-18
Waikato,3465,14353,2022-02-18
Lakes,1252,5837,2022-02-18
Bay of Plenty,1936,9663,2022-02-18
Tairawhiti,1035,3586,2022-02-18
Taranaki,985,3891,2022-02-18
Hawkes Bay,1588,7110,2022-02-18
MidCentral,1515,5415,2022-02-18
Whanganui,529,2707,2022-02-18
Capital and Coast,2003,4676,2022-02-18
Hutt Valley,1405,3674,2022-02-18
Wairarapa,352,1304,2022-02-18
Nelson Marlborough,775,2457,2022-02-18
West Coast,158,548,2022-02-18
Canterbury,2615,7502,2022-02-18
South Canterbury,249,788,2022-02-18
Southern,1651,4918,2022-02-18
Overseas / Unknown,9,159,2022-02-18
Total,31694,115562,2022-02-18
