DHB,Dose1,Dose2,Population,Date
Northland,2647,327,10478,2022-03-27
Waitemata,3471,791,8520,2022-03-27
Auckland,1966,519,4322,2022-03-27
Counties Manukau,4420,722,13654,2022-03-27
Waikato,4450,724,14353,2022-03-27
Lakes,1644,307,5837,2022-03-27
Bay of Plenty,2541,415,9663,2022-03-27
Tairawhiti,1563,251,3586,2022-03-27
Taranaki,1209,270,3891,2022-03-27
Hawkes Bay,2263,348,7110,2022-03-27
MidCentral,2013,376,5415,2022-03-27
Whanganui,774,147,2707,2022-03-27
Capital and Coast,2323,673,4676,2022-03-27
Hutt Valley,1677,367,3674,2022-03-27
Wairarapa,461,92,1304,2022-03-27
Nelson Marlborough,946,210,2457,2022-03-27
West Coast,214,43,548,2022-03-27
Canterbury,3318,757,7502,2022-03-27
South Canterbury,325,56,788,2022-03-27
Southern,1999,395,4918,2022-03-27
Overseas / Unknown,10,5,159,2022-03-27
Total,40234,7791,115562,2022-03-27
