DHB,Dose1,Dose2,Population,Date
Northland,2490,41,10478,2022-03-10
Waitemata,3400,104,8520,2022-03-10
Auckland,1926,89,4322,2022-03-10
Counties Manukau,4227,172,13654,2022-03-10
Waikato,4329,94,14353,2022-03-10
Lakes,1562,49,5837,2022-03-10
Bay of Plenty,2455,73,9663,2022-03-10
Tairawhiti,1422,32,3586,2022-03-10
Taranaki,1176,19,3891,2022-03-10
Hawkes Bay,2156,78,7110,2022-03-10
MidCentral,1938,35,5415,2022-03-10
Whanganui,739,6,2707,2022-03-10
Capital and Coast,2284,42,4676,2022-03-10
Hutt Valley,1637,28,3674,2022-03-10
Wairarapa,445,36,1304,2022-03-10
Nelson Marlborough,916,17,2457,2022-03-10
West Coast,199,5,548,2022-03-10
Canterbury,3242,72,7502,2022-03-10
South Canterbury,307,5,788,2022-03-10
Southern,1933,24,4918,2022-03-10
Overseas / Unknown,11,5,159,2022-03-10
Total,38794,1017,115562,2022-03-10
