DHB,Dose1,Dose2,Population,Date
Northland,2694,460,10478,2022-04-05
Waitemata,3474,1039,8520,2022-04-05
Auckland,1965,655,4322,2022-04-05
Counties Manukau,4448,939,13654,2022-04-05
Waikato,4486,918,14353,2022-04-05
Lakes,1654,372,5837,2022-04-05
Bay of Plenty,2556,549,9663,2022-04-05
Tairawhiti,1584,336,3586,2022-04-05
Taranaki,1218,337,3891,2022-04-05
Hawkes Bay,2274,460,7110,2022-04-05
MidCentral,2025,545,5415,2022-04-05
Whanganui,778,190,2707,2022-04-05
Capital and Coast,2330,852,4676,2022-04-05
Hutt Valley,1683,466,3674,2022-04-05
Wairarapa,465,111,1304,2022-04-05
Nelson Marlborough,959,266,2457,2022-04-05
West Coast,215,72,548,2022-04-05
Canterbury,3332,1026,7502,2022-04-05
South Canterbury,329,72,788,2022-04-05
Southern,2005,592,4918,2022-04-05
Overseas / Unknown,10,5,159,2022-04-05
Total,40484,10259,115562,2022-04-05
