DHB,Dose1,Population,Date
Northland,1368,10478,2022-02-06
Waitemata,2732,8520,2022-02-06
Auckland,1562,4322,2022-02-06
Counties Manukau,3005,13654,2022-02-06
Waikato,2930,14353,2022-02-06
Lakes,1092,5837,2022-02-06
Bay of Plenty,1666,9663,2022-02-06
Tairawhiti,822,3586,2022-02-06
Taranaki,909,3891,2022-02-06
Hawkes Bay,1362,7110,2022-02-06
MidCentral,1283,5415,2022-02-06
Whanganui,434,2707,2022-02-06
Capital and Coast,1761,4676,2022-02-06
Hutt Valley,1235,3674,2022-02-06
Wairarapa,287,1304,2022-02-06
Nelson Marlborough,711,2457,2022-02-06
West Coast,139,548,2022-02-06
Canterbury,2236,7502,2022-02-06
South Canterbury,211,788,2022-02-06
Southern,1325,4918,2022-02-06
Overseas / Unknown,9,159,2022-02-06
Total,27079,115562,2022-02-06
