DHB,Dose1,Dose2,Population,Date
Northland,2332,23,10478,2022-03-04
Waitemata,3343,77,8520,2022-03-04
Auckland,1895,64,4322,2022-03-04
Counties Manukau,4081,137,13654,2022-03-04
Waikato,4185,75,14353,2022-03-04
Lakes,1503,30,5837,2022-03-04
Bay of Plenty,2365,59,9663,2022-03-04
Tairawhiti,1295,22,3586,2022-03-04
Taranaki,1142,13,3891,2022-03-04
Hawkes Bay,1866,39,7110,2022-03-04
MidCentral,1827,26,5415,2022-03-04
Whanganui,690,5,2707,2022-03-04
Capital and Coast,2237,29,4676,2022-03-04
Hutt Valley,1600,18,3674,2022-03-04
Wairarapa,417,30,1304,2022-03-04
Nelson Marlborough,894,12,2457,2022-03-04
West Coast,184,5,548,2022-03-04
Canterbury,3104,48,7502,2022-03-04
South Canterbury,295,5,788,2022-03-04
Southern,1870,15,4918,2022-03-04
Overseas / Unknown,9,5,159,2022-03-04
Total,37134,722,115562,2022-03-04
