DHB,Dose1,Dose2,Population,Date
Northland,2695,483,10478,2022-04-06
Waitemata,3471,1053,8520,2022-04-06
Auckland,1964,664,4322,2022-04-06
Counties Manukau,4448,948,13654,2022-04-06
Waikato,4490,937,14353,2022-04-06
Lakes,1654,375,5837,2022-04-06
Bay of Plenty,2557,557,9663,2022-04-06
Tairawhiti,1584,337,3586,2022-04-06
Taranaki,1219,339,3891,2022-04-06
Hawkes Bay,2274,470,7110,2022-04-06
MidCentral,2026,552,5415,2022-04-06
Whanganui,777,190,2707,2022-04-06
Capital and Coast,2332,856,4676,2022-04-06
Hutt Valley,1685,475,3674,2022-04-06
Wairarapa,466,112,1304,2022-04-06
Nelson Marlborough,960,271,2457,2022-04-06
West Coast,215,73,548,2022-04-06
Canterbury,3333,1040,7502,2022-04-06
South Canterbury,329,72,788,2022-04-06
Southern,2005,613,4918,2022-04-06
Overseas / Unknown,10,5,159,2022-04-06
Total,40494,10419,115562,2022-04-06
