DHB,Dose1,Population,Date
Northland,3549,19480,2022-02-01
Waitemata,28429,61881,2022-02-01
Auckland,20545,40861,2022-02-01
Counties Manukau,24056,65365,2022-02-01
Waikato,13833,43635,2022-02-01
Lakes,3245,11998,2022-02-01
Bay of Plenty,7104,25345,2022-02-01
Tairawhiti,1473,5647,2022-02-01
Taranaki,4196,12748,2022-02-01
Hawkes Bay,5069,17749,2022-02-01
MidCentral,5704,17720,2022-02-01
Whanganui,1557,6588,2022-02-01
Capital and Coast,13972,27051,2022-02-01
Hutt Valley,6991,14890,2022-02-01
Wairarapa,1210,4294,2022-02-01
Nelson Marlborough,5529,13612,2022-02-01
West Coast,675,2733,2022-02-01
Canterbury,18718,49808,2022-02-01
South Canterbury,1939,5298,2022-02-01
Southern,10111,28939,2022-02-01
Overseas / Unknown,59,652,2022-02-01
Total,177964,476294,2022-02-01
