DHB,Dose1,Dose2,Population,Date
Northland,6494,144,19480,2022-03-14
Waitemata,37001,2112,61881,2022-03-14
Auckland,26278,2000,40861,2022-03-14
Counties Manukau,35263,1786,65365,2022-03-14
Waikato,20094,722,43635,2022-03-14
Lakes,4776,174,11998,2022-03-14
Bay of Plenty,10327,457,25345,2022-03-14
Tairawhiti,2607,111,5647,2022-03-14
Taranaki,5721,161,12748,2022-03-14
Hawkes Bay,7872,292,17749,2022-03-14
MidCentral,8867,287,17720,2022-03-14
Whanganui,2610,90,6588,2022-03-14
Capital and Coast,18176,926,27051,2022-03-14
Hutt Valley,9407,387,14890,2022-03-14
Wairarapa,2140,92,4294,2022-03-14
Nelson Marlborough,7107,382,13612,2022-03-14
West Coast,1202,19,2733,2022-03-14
Canterbury,29921,939,49808,2022-03-14
South Canterbury,2724,83,5298,2022-03-14
Southern,15680,389,28939,2022-03-14
Overseas / Unknown,84,5,652,2022-03-14
Total,254351,11556,476294,2022-03-14
