DHB,Dose1,Dose2,Population,Date
Northland,5668,36,19480,2022-02-24
Waitemata,34967,385,61881,2022-02-24
Auckland,25075,504,40861,2022-02-24
Counties Manukau,32631,634,65365,2022-02-24
Waikato,18472,130,43635,2022-02-24
Lakes,4200,26,11998,2022-02-24
Bay of Plenty,9272,59,25345,2022-02-24
Tairawhiti,2227,27,5647,2022-02-24
Taranaki,5152,27,12748,2022-02-24
Hawkes Bay,6840,54,17749,2022-02-24
MidCentral,7823,43,17720,2022-02-24
Whanganui,2282,12,6588,2022-02-24
Capital and Coast,17099,137,27051,2022-02-24
Hutt Valley,8710,37,14890,2022-02-24
Wairarapa,1960,32,4294,2022-02-24
Nelson Marlborough,6715,78,13612,2022-02-24
West Coast,992,5,2733,2022-02-24
Canterbury,26773,134,49808,2022-02-24
South Canterbury,2464,14,5298,2022-02-24
Southern,14533,60,28939,2022-02-24
Overseas / Unknown,80,5,652,2022-02-24
Total,233935,2434,476294,2022-02-24
