DHB,Dose1,Dose2,Population,Date
Northland,6478,104,19480,2022-03-12
Waitemata,36929,1409,61881,2022-03-12
Auckland,26251,1481,40861,2022-03-12
Counties Manukau,35209,1467,65365,2022-03-12
Waikato,20052,435,43635,2022-03-12
Lakes,4754,129,11998,2022-03-12
Bay of Plenty,10286,284,25345,2022-03-12
Tairawhiti,2573,73,5647,2022-03-12
Taranaki,5712,84,12748,2022-03-12
Hawkes Bay,7817,220,17749,2022-03-12
MidCentral,8830,160,17720,2022-03-12
Whanganui,2606,33,6588,2022-03-12
Capital and Coast,18158,407,27051,2022-03-12
Hutt Valley,9383,157,14890,2022-03-12
Wairarapa,2134,80,4294,2022-03-12
Nelson Marlborough,7084,186,13612,2022-03-12
West Coast,1200,19,2733,2022-03-12
Canterbury,29840,551,49808,2022-03-12
South Canterbury,2713,49,5298,2022-03-12
Southern,15641,260,28939,2022-03-12
Overseas / Unknown,84,5,652,2022-03-12
Total,253734,7591,476294,2022-03-12
