DHB,Dose1,Dose2,Population,Date
Northland,6271,76,19480,2022-03-06
Waitemata,36612,850,61881,2022-03-06
Auckland,26044,1020,40861,2022-03-06
Counties Manukau,34636,1121,65365,2022-03-06
Waikato,19729,298,43635,2022-03-06
Lakes,4653,78,11998,2022-03-06
Bay of Plenty,10110,205,25345,2022-03-06
Tairawhiti,2499,59,5647,2022-03-06
Taranaki,5572,59,12748,2022-03-06
Hawkes Bay,7642,168,17749,2022-03-06
MidCentral,8598,105,17720,2022-03-06
Whanganui,2507,19,6588,2022-03-06
Capital and Coast,17930,246,27051,2022-03-06
Hutt Valley,9248,97,14890,2022-03-06
Wairarapa,2090,59,4294,2022-03-06
Nelson Marlborough,6983,121,13612,2022-03-06
West Coast,1150,13,2733,2022-03-06
Canterbury,29189,351,49808,2022-03-06
South Canterbury,2638,19,5298,2022-03-06
Southern,15342,153,28939,2022-03-06
Overseas / Unknown,84,5,652,2022-03-06
Total,249527,5119,476294,2022-03-06
