DHB,Dose1,Population,Date
Northland,4324,19480,2022-02-07
Waitemata,31541,61881,2022-02-07
Auckland,22715,40861,2022-02-07
Counties Manukau,27883,65365,2022-02-07
Waikato,15571,43635,2022-02-07
Lakes,3609,11998,2022-02-07
Bay of Plenty,7896,25345,2022-02-07
Tairawhiti,1749,5647,2022-02-07
Taranaki,4553,12748,2022-02-07
Hawkes Bay,5641,17749,2022-02-07
MidCentral,6560,17720,2022-02-07
Whanganui,1784,6588,2022-02-07
Capital and Coast,15239,27051,2022-02-07
Hutt Valley,7603,14890,2022-02-07
Wairarapa,1513,4294,2022-02-07
Nelson Marlborough,6006,13612,2022-02-07
West Coast,797,2733,2022-02-07
Canterbury,21831,49808,2022-02-07
South Canterbury,2035,5298,2022-02-07
Southern,11643,28939,2022-02-07
Overseas / Unknown,69,652,2022-02-07
Total,200562,476294,2022-02-07
