DHB,Dose1,Dose2,Population,Date
Northland,5630,34,19480,2022-02-23
Waitemata,34784,345,61881,2022-02-23
Auckland,24962,476,40861,2022-02-23
Counties Manukau,32438,608,65365,2022-02-23
Waikato,18288,120,43635,2022-02-23
Lakes,4166,22,11998,2022-02-23
Bay of Plenty,9204,53,25345,2022-02-23
Tairawhiti,2188,23,5647,2022-02-23
Taranaki,5098,23,12748,2022-02-23
Hawkes Bay,6808,50,17749,2022-02-23
MidCentral,7759,33,17720,2022-02-23
Whanganui,2240,12,6588,2022-02-23
Capital and Coast,16998,124,27051,2022-02-23
Hutt Valley,8672,35,14890,2022-02-23
Wairarapa,1952,31,4294,2022-02-23
Nelson Marlborough,6691,75,13612,2022-02-23
West Coast,986,<5,2733,2022-02-23
Canterbury,26486,124,49808,2022-02-23
South Canterbury,2428,13,5298,2022-02-23
Southern,14418,53,28939,2022-02-23
Overseas / Unknown,80,<5,652,2022-02-23
Total,232276,2259,476294,2022-02-23
