DHB,Dose1,Dose2,Population,Date
Northland,6536,282,19480,2022-03-16
Waitemata,37049,3179,61881,2022-03-16
Auckland,26316,2829,40861,2022-03-16
Counties Manukau,35299,2473,65365,2022-03-16
Waikato,20131,1307,43635,2022-03-16
Lakes,4799,329,11998,2022-03-16
Bay of Plenty,10342,693,25345,2022-03-16
Tairawhiti,2646,183,5647,2022-03-16
Taranaki,5731,455,12748,2022-03-16
Hawkes Bay,7919,460,17749,2022-03-16
MidCentral,8887,559,17720,2022-03-16
Whanganui,2624,171,6588,2022-03-16
Capital and Coast,18193,2031,27051,2022-03-16
Hutt Valley,9437,784,14890,2022-03-16
Wairarapa,2155,175,4294,2022-03-16
Nelson Marlborough,7117,657,13612,2022-03-16
West Coast,1207,34,2733,2022-03-16
Canterbury,30025,1821,49808,2022-03-16
South Canterbury,2735,153,5298,2022-03-16
Southern,15736,785,28939,2022-03-16
Overseas / Unknown,81,5,652,2022-03-16
Total,254965,19363,476294,2022-03-16
