DHB,Dose1,Population,Date
Northland,4930,19480,2022-02-13
Waitemata,32965,61881,2022-02-13
Auckland,23718,40861,2022-02-13
Counties Manukau,29944,65365,2022-02-13
Waikato,16831,43635,2022-02-13
Lakes,3868,11998,2022-02-13
Bay of Plenty,8480,25345,2022-02-13
Tairawhiti,1932,5647,2022-02-13
Taranaki,4778,12748,2022-02-13
Hawkes Bay,6317,17749,2022-02-13
MidCentral,7047,17720,2022-02-13
Whanganui,1943,6588,2022-02-13
Capital and Coast,15994,27051,2022-02-13
Hutt Valley,8078,14890,2022-02-13
Wairarapa,1717,4294,2022-02-13
Nelson Marlborough,6256,13612,2022-02-13
West Coast,871,2733,2022-02-13
Canterbury,23826,49808,2022-02-13
South Canterbury,2224,5298,2022-02-13
Southern,12987,28939,2022-02-13
Overseas / Unknown,76,652,2022-02-13
Total,214782,476294,2022-02-13
