DHB,Dose1,Population,Date
Northland,4727,19480,2022-02-11
Waitemata,32392,61881,2022-02-11
Auckland,23333,40861,2022-02-11
Counties Manukau,29070,65365,2022-02-11
Waikato,16448,43635,2022-02-11
Lakes,3739,11998,2022-02-11
Bay of Plenty,8215,25345,2022-02-11
Tairawhiti,1875,5647,2022-02-11
Taranaki,4697,12748,2022-02-11
Hawkes Bay,6089,17749,2022-02-11
MidCentral,6821,17720,2022-02-11
Whanganui,1901,6588,2022-02-11
Capital and Coast,15664,27051,2022-02-11
Hutt Valley,7841,14890,2022-02-11
Wairarapa,1611,4294,2022-02-11
Nelson Marlborough,6125,13612,2022-02-11
West Coast,853,2733,2022-02-11
Canterbury,23091,49808,2022-02-11
South Canterbury,2186,5298,2022-02-11
Southern,12523,28939,2022-02-11
Overseas / Unknown,74,652,2022-02-11
Total,209275,476294,2022-02-11
