DHB,Dose1,Dose2,Population,Date
Northland,6547,422,19480,2022-03-18
Waitemata,37099,4774,61881,2022-03-18
Auckland,26345,4126,40861,2022-03-18
Counties Manukau,35349,3598,65365,2022-03-18
Waikato,20175,2053,43635,2022-03-18
Lakes,4807,532,11998,2022-03-18
Bay of Plenty,10372,973,25345,2022-03-18
Tairawhiti,2673,245,5647,2022-03-18
Taranaki,5747,743,12748,2022-03-18
Hawkes Bay,7953,690,17749,2022-03-18
MidCentral,8933,893,17720,2022-03-18
Whanganui,2637,265,6588,2022-03-18
Capital and Coast,18216,2903,27051,2022-03-18
Hutt Valley,9450,1090,14890,2022-03-18
Wairarapa,2166,238,4294,2022-03-18
Nelson Marlborough,7129,1012,13612,2022-03-18
West Coast,1210,80,2733,2022-03-18
Canterbury,30103,2832,49808,2022-03-18
South Canterbury,2752,280,5298,2022-03-18
Southern,15812,1313,28939,2022-03-18
Overseas / Unknown,79,6,652,2022-03-18
Total,255554,29068,476294,2022-03-18
