DHB,Dose1,Population,Date
Northland,5258,19480,2022-02-18
Waitemata,33619,61881,2022-02-18
Auckland,24239,40861,2022-02-18
Counties Manukau,30979,65365,2022-02-18
Waikato,17485,43635,2022-02-18
Lakes,3982,11998,2022-02-18
Bay of Plenty,8728,25345,2022-02-18
Tairawhiti,2068,5647,2022-02-18
Taranaki,4894,12748,2022-02-18
Hawkes Bay,6541,17749,2022-02-18
MidCentral,7358,17720,2022-02-18
Whanganui,2054,6588,2022-02-18
Capital and Coast,16424,27051,2022-02-18
Hutt Valley,8348,14890,2022-02-18
Wairarapa,1827,4294,2022-02-18
Nelson Marlborough,6419,13612,2022-02-18
West Coast,897,2733,2022-02-18
Canterbury,24864,49808,2022-02-18
South Canterbury,2338,5298,2022-02-18
Southern,13789,28939,2022-02-18
Overseas / Unknown,77,652,2022-02-18
Total,222188,476294,2022-02-18
