DHB,Dose1,Dose2,Population,Date
Northland,5571,34,19480,2022-02-22
Waitemata,34624,330,61881,2022-02-22
Auckland,24894,447,40861,2022-02-22
Counties Manukau,32289,589,65365,2022-02-22
Waikato,18121,115,43635,2022-02-22
Lakes,4152,21,11998,2022-02-22
Bay of Plenty,9134,49,25345,2022-02-22
Tairawhiti,2171,20,5647,2022-02-22
Taranaki,5062,23,12748,2022-02-22
Hawkes Bay,6777,43,17749,2022-02-22
MidCentral,7683,27,17720,2022-02-22
Whanganui,2194,11,6588,2022-02-22
Capital and Coast,16934,110,27051,2022-02-22
Hutt Valley,8644,31,14890,2022-02-22
Wairarapa,1941,18,4294,2022-02-22
Nelson Marlborough,6664,71,13612,2022-02-22
West Coast,982,<5,2733,2022-02-22
Canterbury,26214,104,49808,2022-02-22
South Canterbury,2405,11,5298,2022-02-22
Southern,14337,44,28939,2022-02-22
Overseas / Unknown,78,<5,652,2022-02-22
Total,230871,2103,476294,2022-02-22
