DHB,Dose1,Dose2,Population,Date
Northland,6582,537,19480,2022-03-20
Waitemata,37136,6413,61881,2022-03-20
Auckland,26386,5319,40861,2022-03-20
Counties Manukau,35478,4969,65365,2022-03-20
Waikato,20190,2628,43635,2022-03-20
Lakes,4825,732,11998,2022-03-20
Bay of Plenty,10391,1325,25345,2022-03-20
Tairawhiti,2718,375,5647,2022-03-20
Taranaki,5769,1025,12748,2022-03-20
Hawkes Bay,7984,985,17749,2022-03-20
MidCentral,8955,1304,17720,2022-03-20
Whanganui,2645,389,6588,2022-03-20
Capital and Coast,18233,4152,27051,2022-03-20
Hutt Valley,9456,1627,14890,2022-03-20
Wairarapa,2167,296,4294,2022-03-20
Nelson Marlborough,7127,1289,13612,2022-03-20
West Coast,1215,116,2733,2022-03-20
Canterbury,30151,4176,49808,2022-03-20
South Canterbury,2758,333,5298,2022-03-20
Southern,15842,1594,28939,2022-03-20
Overseas / Unknown,80,10,652,2022-03-20
Total,256088,39594,476294,2022-03-20
