DHB,Dose1,Dose2,Population,Date
Northland,6604,710,19480,2022-03-22
Waitemata,37151,7615,61881,2022-03-22
Auckland,26381,6162,40861,2022-03-22
Counties Manukau,35494,5735,65365,2022-03-22
Waikato,20199,3176,43635,2022-03-22
Lakes,4832,867,11998,2022-03-22
Bay of Plenty,10393,1579,25345,2022-03-22
Tairawhiti,2715,399,5647,2022-03-22
Taranaki,5790,1254,12748,2022-03-22
Hawkes Bay,7986,1142,17749,2022-03-22
MidCentral,8971,1535,17720,2022-03-22
Whanganui,2651,458,6588,2022-03-22
Capital and Coast,18230,4864,27051,2022-03-22
Hutt Valley,9470,1888,14890,2022-03-22
Wairarapa,2172,352,4294,2022-03-22
Nelson Marlborough,7127,1583,13612,2022-03-22
West Coast,1215,141,2733,2022-03-22
Canterbury,30211,5131,49808,2022-03-22
South Canterbury,2774,469,5298,2022-03-22
Southern,15860,2077,28939,2022-03-22
Overseas / Unknown,82,13,652,2022-03-22
Total,256308,47150,476294,2022-03-22
