DHB,Dose1,Dose2,Population,Date
Northland,6698,1485,19480,2022-04-01
Waitemata,37255,12856,61881,2022-04-01
Auckland,26426,9786,40861,2022-04-01
Counties Manukau,35604,10034,65365,2022-04-01
Waikato,20272,5601,43635,2022-04-01
Lakes,4850,1360,11998,2022-04-01
Bay of Plenty,10426,2545,25345,2022-04-01
Tairawhiti,2743,713,5647,2022-04-01
Taranaki,5805,2056,12748,2022-04-01
Hawkes Bay,8015,2097,17749,2022-04-01
MidCentral,9032,2867,17720,2022-04-01
Whanganui,2669,845,6588,2022-04-01
Capital and Coast,18211,8168,27051,2022-04-01
Hutt Valley,9483,3406,14890,2022-04-01
Wairarapa,2185,558,4294,2022-04-01
Nelson Marlborough,7157,2533,13612,2022-04-01
West Coast,1222,396,2733,2022-04-01
Canterbury,30364,10436,49808,2022-04-01
South Canterbury,2796,821,5298,2022-04-01
Southern,15910,5063,28939,2022-04-01
Overseas / Unknown,80,26,652,2022-04-01
Total,257203,83652,476294,2022-04-01
