DHB,Dose1,Dose2,Population,Date
Northland,6485,104,19480,2022-03-13
Waitemata,36962,1518,61881,2022-03-13
Auckland,26259,1596,40861,2022-03-13
Counties Manukau,35232,1523,65365,2022-03-13
Waikato,20073,451,43635,2022-03-13
Lakes,4770,138,11998,2022-03-13
Bay of Plenty,10311,312,25345,2022-03-13
Tairawhiti,2604,106,5647,2022-03-13
Taranaki,5718,97,12748,2022-03-13
Hawkes Bay,7859,241,17749,2022-03-13
MidCentral,8844,171,17720,2022-03-13
Whanganui,2611,39,6588,2022-03-13
Capital and Coast,18174,438,27051,2022-03-13
Hutt Valley,9398,163,14890,2022-03-13
Wairarapa,2140,87,4294,2022-03-13
Nelson Marlborough,7087,192,13612,2022-03-13
West Coast,1202,19,2733,2022-03-13
Canterbury,29875,579,49808,2022-03-13
South Canterbury,2718,49,5298,2022-03-13
Southern,15650,281,28939,2022-03-13
Overseas / Unknown,84,5,652,2022-03-13
Total,254056,8107,476294,2022-03-13
