DHB,Dose1,Dose2,Population,Date
Northland,6817,2128,19480,2022-04-25
Waitemata,37432,16861,61881,2022-04-25
Auckland,26478,12527,40861,2022-04-25
Counties Manukau,35776,13490,65365,2022-04-25
Waikato,20366,7134,43635,2022-04-25
Lakes,4871,1637,11998,2022-04-25
Bay of Plenty,10470,3180,25345,2022-04-25
Tairawhiti,2775,952,5647,2022-04-25
Taranaki,5836,2413,12748,2022-04-25
Hawkes Bay,8039,2724,17749,2022-04-25
MidCentral,9060,3713,17720,2022-04-25
Whanganui,2689,1069,6588,2022-04-25
Capital and Coast,18285,9761,27051,2022-04-25
Hutt Valley,9513,4243,14890,2022-04-25
Wairarapa,2201,787,4294,2022-04-25
Nelson Marlborough,7174,3059,13612,2022-04-25
West Coast,1227,515,2733,2022-04-25
Canterbury,30518,13790,49808,2022-04-25
South Canterbury,2794,1044,5298,2022-04-25
Southern,15977,6995,28939,2022-04-25
Overseas / Unknown,83,31,652,2022-04-25
Total,258381,108053,476294,2022-04-25
