DHB,Dose1,Population,Date
Northland,3147,19480,2022-01-30
Waitemata,26718,61881,2022-01-30
Auckland,19369,40861,2022-01-30
Counties Manukau,22383,65365,2022-01-30
Waikato,12975,43635,2022-01-30
Lakes,3060,11998,2022-01-30
Bay of Plenty,6676,25345,2022-01-30
Tairawhiti,1363,5647,2022-01-30
Taranaki,3834,12748,2022-01-30
Hawkes Bay,4536,17749,2022-01-30
MidCentral,5148,17720,2022-01-30
Whanganui,1422,6588,2022-01-30
Capital and Coast,12671,27051,2022-01-30
Hutt Valley,6285,14890,2022-01-30
Wairarapa,984,4294,2022-01-30
Nelson Marlborough,5211,13612,2022-01-30
West Coast,578,2733,2022-01-30
Canterbury,16422,49808,2022-01-30
South Canterbury,1786,5298,2022-01-30
Southern,8882,28939,2022-01-30
Overseas / Unknown,45,652,2022-01-30
Total,163495,476294,2022-01-30
