DHB,Dose1,Dose2,Population,Date
Northland,6113,54,19480,2022-03-03
Waitemata,36283,710,61881,2022-03-03
Auckland,25791,828,40861,2022-03-03
Counties Manukau,34094,946,65365,2022-03-03
Waikato,19476,254,43635,2022-03-03
Lakes,4551,63,11998,2022-03-03
Bay of Plenty,9928,162,25345,2022-03-03
Tairawhiti,2401,39,5647,2022-03-03
Taranaki,5470,49,12748,2022-03-03
Hawkes Bay,7242,88,17749,2022-03-03
MidCentral,8391,86,17720,2022-03-03
Whanganui,2454,16,6588,2022-03-03
Capital and Coast,17730,212,27051,2022-03-03
Hutt Valley,9132,78,14890,2022-03-03
Wairarapa,2057,49,4294,2022-03-03
Nelson Marlborough,6934,103,13612,2022-03-03
West Coast,1113,12,2733,2022-03-03
Canterbury,28623,277,49808,2022-03-03
South Canterbury,2596,16,5298,2022-03-03
Southern,15208,135,28939,2022-03-03
Overseas / Unknown,83,5,652,2022-03-03
Total,245670,4179,476294,2022-03-03
