DHB,Dose1,Dose2,Population,Date
Northland,6811,2086,19480,2022-04-21
Waitemata,37389,16407,61881,2022-04-21
Auckland,26453,12211,40861,2022-04-21
Counties Manukau,35752,13038,65365,2022-04-21
Waikato,20364,6988,43635,2022-04-21
Lakes,4870,1585,11998,2022-04-21
Bay of Plenty,10459,3121,25345,2022-04-21
Tairawhiti,2772,927,5647,2022-04-21
Taranaki,5833,2374,12748,2022-04-21
Hawkes Bay,8023,2682,17749,2022-04-21
MidCentral,9051,3637,17720,2022-04-21
Whanganui,2686,1050,6588,2022-04-21
Capital and Coast,18279,9613,27051,2022-04-21
Hutt Valley,9509,4137,14890,2022-04-21
Wairarapa,2201,777,4294,2022-04-21
Nelson Marlborough,7174,3023,13612,2022-04-21
West Coast,1227,491,2733,2022-04-21
Canterbury,30495,13409,49808,2022-04-21
South Canterbury,2796,1035,5298,2022-04-21
Southern,15967,6863,28939,2022-04-21
Overseas / Unknown,85,32,652,2022-04-21
Total,258196,105486,476294,2022-04-21
