DHB,Dose1,Population,Date
Northland,5513,19480,2022-02-21
Waitemata,34502,61881,2022-02-21
Auckland,24791,40861,2022-02-21
Counties Manukau,32157,65365,2022-02-21
Waikato,18005,43635,2022-02-21
Lakes,4136,11998,2022-02-21
Bay of Plenty,9077,25345,2022-02-21
Tairawhiti,2149,5647,2022-02-21
Taranaki,5034,12748,2022-02-21
Hawkes Bay,6734,17749,2022-02-21
MidCentral,7633,17720,2022-02-21
Whanganui,2172,6588,2022-02-21
Capital and Coast,16864,27051,2022-02-21
Hutt Valley,8606,14890,2022-02-21
Wairarapa,1928,4294,2022-02-21
Nelson Marlborough,6625,13612,2022-02-21
West Coast,964,2733,2022-02-21
Canterbury,25916,49808,2022-02-21
South Canterbury,2386,5298,2022-02-21
Southern,14217,28939,2022-02-21
Overseas / Unknown,78,652,2022-02-21
Total,229487,476294,2022-02-21
