DHB,Dose1,Population,Date
Northland,5149,19480,2022-02-16
Waitemata,33409,61881,2022-02-16
Auckland,24070,40861,2022-02-16
Counties Manukau,30629,65365,2022-02-16
Waikato,17245,43635,2022-02-16
Lakes,3963,11998,2022-02-16
Bay of Plenty,8646,25345,2022-02-16
Tairawhiti,2008,5647,2022-02-16
Taranaki,4853,12748,2022-02-16
Hawkes Bay,6489,17749,2022-02-16
MidCentral,7238,17720,2022-02-16
Whanganui,2004,6588,2022-02-16
Capital and Coast,16277,27051,2022-02-16
Hutt Valley,8254,14890,2022-02-16
Wairarapa,1795,4294,2022-02-16
Nelson Marlborough,6344,13612,2022-02-16
West Coast,881,2733,2022-02-16
Canterbury,24463,49808,2022-02-16
South Canterbury,2302,5298,2022-02-16
Southern,13567,28939,2022-02-16
Overseas / Unknown,76,652,2022-02-16
Total,219662,476294,2022-02-16
