DHB,Dose1,Dose2,Population,Date
Northland,6733,1595,19480,2022-04-03
Waitemata,37280,13710,61881,2022-04-03
Auckland,26428,10354,40861,2022-04-03
Counties Manukau,35634,10833,65365,2022-04-03
Waikato,20289,5855,43635,2022-04-03
Lakes,4852,1431,11998,2022-04-03
Bay of Plenty,10432,2710,25345,2022-04-03
Tairawhiti,2752,794,5647,2022-04-03
Taranaki,5807,2145,12748,2022-04-03
Hawkes Bay,8016,2257,17749,2022-04-03
MidCentral,9046,3106,17720,2022-04-03
Whanganui,2675,894,6588,2022-04-03
Capital and Coast,18215,8571,27051,2022-04-03
Hutt Valley,9492,3564,14890,2022-04-03
Wairarapa,2187,593,4294,2022-04-03
Nelson Marlborough,7156,2653,13612,2022-04-03
West Coast,1223,418,2733,2022-04-03
Canterbury,30390,11116,49808,2022-04-03
South Canterbury,2797,858,5298,2022-04-03
Southern,15918,5398,28939,2022-04-03
Overseas / Unknown,80,27,652,2022-04-03
Total,257402,88882,476294,2022-04-03
