DHB,Dose1,Population,Date
Northland,5059,19480,2022-02-15
Waitemata,33274,61881,2022-02-15
Auckland,23950,40861,2022-02-15
Counties Manukau,30439,65365,2022-02-15
Waikato,17064,43635,2022-02-15
Lakes,3933,11998,2022-02-15
Bay of Plenty,8587,25345,2022-02-15
Tairawhiti,1970,5647,2022-02-15
Taranaki,4832,12748,2022-02-15
Hawkes Bay,6433,17749,2022-02-15
MidCentral,7156,17720,2022-02-15
Whanganui,1970,6588,2022-02-15
Capital and Coast,16187,27051,2022-02-15
Hutt Valley,8198,14890,2022-02-15
Wairarapa,1783,4294,2022-02-15
Nelson Marlborough,6306,13612,2022-02-15
West Coast,880,2733,2022-02-15
Canterbury,24213,49808,2022-02-15
South Canterbury,2280,5298,2022-02-15
Southern,13390,28939,2022-02-15
Overseas / Unknown,75,652,2022-02-15
Total,217979,476294,2022-02-15
