DHB,Dose1,Dose2,Population,Date
Northland,5712,36,19480,2022-02-25
Waitemata,35280,439,61881,2022-02-25
Auckland,25246,557,40861,2022-02-25
Counties Manukau,32901,685,65365,2022-02-25
Waikato,18738,146,43635,2022-02-25
Lakes,4259,33,11998,2022-02-25
Bay of Plenty,9397,76,25345,2022-02-25
Tairawhiti,2241,27,5647,2022-02-25
Taranaki,5224,30,12748,2022-02-25
Hawkes Bay,6920,55,17749,2022-02-25
MidCentral,7883,47,17720,2022-02-25
Whanganui,2290,12,6588,2022-02-25
Capital and Coast,17226,159,27051,2022-02-25
Hutt Valley,8798,39,14890,2022-02-25
Wairarapa,1970,36,4294,2022-02-25
Nelson Marlborough,6766,79,13612,2022-02-25
West Coast,1030,5,2733,2022-02-25
Canterbury,27082,162,49808,2022-02-25
South Canterbury,2480,15,5298,2022-02-25
Southern,14678,72,28939,2022-02-25
Overseas / Unknown,81,5,652,2022-02-25
Total,236202,2712,476294,2022-02-25
